Quartal;IVW-Nr.;Titel-Nr.;Titel;Zusatz;Ort;Verlagsnummer;Erscheinungsweisen;Kennzeichen Statistik;Mitgliedsnummer;Verbreitung;Verkauf;Druckauflage gesamt;Verkauf zur Weitergabe an Kunden;Abo gesamt;dav Mehrf 25;dav Mitgl;EV-Verkauf;EV-Lieferung;Remittenden;Lesezirkel;Bordexemplare;Sonst Verk;Freist gesamt;davon ausgelegt;Zahl Auslege-Stellen;Reste/Belege;Sonderhinweis;Verbreitung (Ausland);Verkauf (Ausland);Druckauflage gesamt (A);Verkauf zur Weitergabe an Kunden (A);Abo gesamt (A);dav Mehrf 25 (A);dav Mitgl (A);EV-Verkauf (A);EV-Lieferung (A);Remittenden (A);Lesezirkel (A);Bordexemplare (A);Sonst Verk (A);Freist gesamt (A);davon ausgelegt (A);Zahl Auslege-Stellen (A);Reste/Belege (A);Sachgruppe;Bindeauflage;VerkAuflage;VertriebAb;Postvert_gesamt;Postvert_CDROM;Direktvertr_gesamt;Direktvertr_CDROM;Verbreitung_gesamt;Verbreitung_CDROM;Korrektur_KZ;Supplement_Gesamtverkauf;Supplement_Sonstige_Verbreitung_gesamt;Nicht_IVW-angeschlossene_Trägerobjekte;Bindeauflage (CD);VerkAuflage (CD);Freist gesamt (CD);Erschienen;ZIS-Schlüssel/PZ-Nr.
20212;3762101002;3455;Facility Manager, Der;;Merching;628;10 x jähr;11;3455;10930;3430;10000;;2437;;232;;;;;;993;7500;230;8;;;306;289;;;289;;;;;;;;;17;;;;304;;;;;;;;;;;;;;;;;;0
20212;3762101002;10172;Facility Manager, Der;davon ePaper;Merching;628;10 x jähr;12;10172;1167;1167;;;194;;;;;;;;973;;;;;;;;;;;;;;;;;;;;;;;304;;;;;;;;;;;;;;;;;;0
20212;2290651022;3458;Visier;;Bad Ems;4359;mtl;11;3458;12501;12140;21853;;8022;;;4034;12337;8303;;;84;361;29;2;;;2488;2396;;;1519;;;837;2835;1998;;;40;92;;;;214;;;;;;;;;;;;;;;;;;587211
20212;2290401082;3462;Alpin;;Nürnberg;1178;mtl;11;3462;22229;21393;28310;;9197;;;3943;11687;7744;3806;1000;3447;836;;;;;3852;3533;;;1571;;;1283;2626;1343;433;;246;319;;;;214;;;;;;;;;;;;;;;;;;513874
20212;2290401082;10502;Alpin;davon ePaper;Nürnberg;1178;mtl;12;10502;3110;3110;;;144;;;8;8;;;;2958;;;;;;;;;;;;;;;;;;;;;;;214;;;;;;;;;;;;;;;;;;513874
20212;3762201002;3466;Spielzeug international;;Ebermannstadt;632;mtl;11;3466;6890;1011;7050;;318;;;;;;;;693;5879;;;;;823;70;;;70;;;;;;;;;753;;;;302;;;;;;;;;;;;;;;;;;0
20212;3012101072;3467;Stein Keramik Sanitär;;Mönchengladbach;631;6 x jähr;11;3467;8983;71;9000;;71;;;;;;;;;8912;;;;;18;3;;;3;;;;;;;;;15;;;;305;;;;;;;;;;;;;;;;;;0
20212;2310101362;3469;Der Vermögensberater;;Frankfurt;630;vtl-jähr;11;3469;447866;447175;453653;;12723;;;78;946;868;;;434374;691;;;;;2;2;;;;;;2;20;18;;;;;;;;220;;;;;;;;;;;;;;;;;;506539
20212;1274011860;3470;BILD Rhein-Neckar;;Berlin;1;Mo-Sa;10;3470;21498;21434;29066;;952;;;20482;27989;7507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100553
20212;1274011860;3471;BILD Rhein-Neckar;;Berlin;1;Mo-Fr;10;3471;21537;21473;29085;;952;;;20521;28006;7485;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100553
20212;1274011860;3472;BILD Rhein-Neckar;;Berlin;1;Sa;10;3472;21311;21248;28978;;951;;;20297;27909;7612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100553
20212;1593611160;3473;Chiemgau-Zeitung;;Rosenheim;1237;Mo-Sa;10;3473;5766;5645;6382;;5017;;;572;1118;546;;;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101845
20212;1593611160;11142;Chiemgau-Zeitung;davon ePaper;Rosenheim;1237;Mo-Sa;10;11142;297;255;;;239;;;;;;;;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101845
20212;3120201342;3477;Gastronomie Report;;München;635;10 x jähr;11;3477;;;;;;;;;;;;;;;;;;Auflagenmeldung nicht eingetroffen;;;;;;;;;;;;;;;;;;302;;;;;;;;;;;;;;;;;;0
20212;2730801002;3479;Homes & Gardens (deutsche Ausgabe);;München;640;2-mtl;11;3479;57430;57381;87084;;2796;;;19595;48703;29108;132;19500;15358;49;;;;;2672;2669;;;211;;;2448;7240;4792;;;10;3;;;;208;;;;;;;;;;;;;;;;;;552460
20212;1481211200;3487;Ebersberger SZ;;München;1148;Mo-Fr;10;3487;5680;5355;4915;;4585;;;174;516;342;;;596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101380
20212;1481211200;11349;Ebersberger SZ;davon ePaper;München;1148;Mo-Fr;10;11349;1318;1318;;;771;;;;;;;;547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101380
20212;1481211200;3488;Ebersberger SZ;;München;1148;Sa;10;3488;6993;6668;6318;;5560;;;497;970;473;;;611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101380
